"V1","V2","V3","V4","V5","V6","V7","V8"
-0.052555355,-0.048689593,-0.072012906,-0.062908655,-0.055600847,-0.047404237,-0.041417997,-0.051693005
-0.053745281,-0.049500588,-0.075445293,-0.062637598,-0.057115625,-0.048141124,-0.041236453,-0.053571743
-0.053833073,-0.04935176,-0.075939868,-0.06333631,-0.058958227,-0.049694207,-0.041399453,-0.052667814
-0.048394232,-0.050564354,-0.071537552,-0.061931522,-0.055634452,-0.046326118,-0.040901115,-0.049050483
-0.048667116,-0.051307509,-0.071508756,-0.064470858,-0.057300024,-0.04506508,-0.04081782,-0.048871534
-0.049377437,-0.050996333,-0.074568369,-0.065659627,-0.062037863,-0.048965166,-0.04115119,-0.047642929
-0.048476525,-0.050676294,-0.067184693,-0.063920625,-0.058173028,-0.047123036,-0.04086295,-0.046214155
-0.048934995,-0.05448667,-0.066841324,-0.066760986,-0.060437421,-0.060239083,-0.041378664,-0.054691645
-0.048906434,-0.054192539,-0.068845259,-0.068024636,-0.063020733,-0.060537384,-0.042331758,-0.056881586
-0.048598319,-0.053599033,-0.069516592,-0.067467405,-0.062412961,-0.059486005,-0.042625767,-0.054113822
-0.049683406,-0.054976362,-0.069670338,-0.0689487,-0.062141883,-0.06256796,-0.041320465,-0.05435685
-0.050186208,-0.052642079,-0.06950108,-0.06838827,-0.062204826,-0.063629194,-0.039032901,-0.054802077
-0.049751811,-0.050161211,-0.072689969,-0.069594609,-0.058733852,-0.064505101,-0.040301255,-0.053674537
-0.046696398,-0.050139315,-0.075145694,-0.070676,-0.059916547,-0.064242817,-0.040385243,-0.052829214
-0.046786608,-0.051079522,-0.073835671,-0.067740323,-0.059498472,-0.064941528,-0.039634951,-0.053481003
-0.047015891,-0.051649813,-0.07553832,-0.067596288,-0.058699127,-0.063116399,-0.038756918,-0.054398531
-0.047118327,-0.052507936,-0.072723834,-0.063774877,-0.054116322,-0.062528553,-0.037868119,-0.055600408
-0.046767745,-0.050564914,-0.074011323,-0.068494732,-0.057517466,-0.064954378,-0.038358107,-0.05228114
-0.046823505,-0.051065272,-0.073402756,-0.068030966,-0.057380064,-0.0651193,-0.037908865,-0.052787049
-0.046939711,-0.051680306,-0.072387996,-0.064443167,-0.056735472,-0.063524741,-0.037207973,-0.053662679
-0.046763312,-0.05159757,-0.067340433,-0.062605103,-0.052777974,-0.054914977,-0.037430269,-0.053991907
-0.04646727,-0.050571824,-0.07028701,-0.062425123,-0.054426988,-0.053744827,-0.038869565,-0.053393513
-0.045975975,-0.049181938,-0.066871356,-0.062442894,-0.054968883,-0.055259494,-0.040749823,-0.051487783
-0.044173299,-0.049876104,-0.073950104,-0.069138611,-0.054974753,-0.056106274,-0.03977132,-0.051734858
-0.043778254,-0.047773753,-0.078574661,-0.072498781,-0.057317809,-0.058413221,-0.042309742,-0.048522837
-0.0439079,-0.048810509,-0.079225468,-0.072101042,-0.055473752,-0.058466737,-0.040993781,-0.046017405
-0.052996237,-0.051356582,-0.07137643,-0.071185748,-0.051116835,-0.057513663,-0.042617652,-0.055987668
-0.048448587,-0.049120113,-0.077356022,-0.07384718,-0.052038379,-0.057168624,-0.045106933,-0.056319932
-0.045722247,-0.050093976,-0.076632413,-0.073376577,-0.051512911,-0.05682398,-0.044094743,-0.056110476
-0.045235175,-0.0496188,-0.069933603,-0.071886725,-0.051349547,-0.055770702,-0.044968655,-0.055082351
-0.053636384,-0.0479747,-0.068644661,-0.072589061,-0.059531625,-0.050257167,-0.048268649,-0.054266631
-0.046164797,-0.043754076,-0.062877432,-0.076646503,-0.06597323,-0.048829751,-0.057399641,-0.072240748
-0.045544976,-0.044770847,-0.066301091,-0.080143107,-0.07911287,-0.054748663,-0.058573016,-0.086726503
-0.034066079,-0.032851827,-0.071997814,-0.086523812,-0.094718634,-0.092996257,-0.070886143,-0.108264814
-0.033902854,-0.034523593,-0.060325461,-0.074226114,-0.086011506,-0.087249978,-0.063359196,-0.090455074
-0.061907884,-0.081857835,-0.067033721,-0.07037359,-0.085335085,-0.091425529,-0.072024127,-0.0845984
-0.061163995,-0.079772819,-0.077960445,-0.077588499,-0.086949973,-0.094915708,-0.073721024,-0.093357458
-0.061984151,-0.080161917,-0.084068376,-0.072160303,-0.098220066,-0.094557849,-0.076758414,-0.121764124
-0.061652469,-0.074408838,-0.085841041,-0.071077954,-0.100272343,-0.0912181,-0.075501938,-0.125772025
-0.0602922,-0.074523857,-0.077596291,-0.07037695,-0.090768071,-0.090155612,-0.072199099,-0.110107982
